Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     65.34     0.00       22     0.00     0.00  std::__detail::_Map_base<unsigned int, std::pair<unsigned int const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<unsigned int const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned int&&)
  0.00     65.34     0.00       14     0.00     0.00  Stats::Stats(bool)
  0.00     65.34     0.00       14     0.00     0.00  std::_Rb_tree<double, std::pair<double const, int>, std::_Select1st<std::pair<double const, int> >, std::less<double>, std::allocator<std::pair<double const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<double const, int> >*)
  0.00     65.34     0.00       12     0.00     0.00  void std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_M_realloc_insert<std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > > >, std::vector<unsigned int, std::allocator<unsigned int> >&&)
  0.00     65.34     0.00       11     0.00     0.00  void std::vector<Event*, std::allocator<Event*> >::_M_realloc_insert<Event* const&>(__gnu_cxx::__normal_iterator<Event**, std::vector<Event*, std::allocator<Event*> > >, Event* const&)
  0.00     65.34     0.00        8     0.00     0.00  void std::vector<HeirScheduleHost*, std::allocator<HeirScheduleHost*> >::_M_realloc_insert<HeirScheduleHost*>(__gnu_cxx::__normal_iterator<HeirScheduleHost**, std::vector<HeirScheduleHost*, std::allocator<HeirScheduleHost*> > >, HeirScheduleHost*&&)
  0.00     65.34     0.00        7     0.00     0.00  HeirScheduleTopology::get_oracle_fct(Flow*)
  0.00     65.34     0.00        6     0.00     0.00  void std::vector<CoreSwitch*, std::allocator<CoreSwitch*> >::_M_realloc_insert<CoreSwitch*>(__gnu_cxx::__normal_iterator<CoreSwitch**, std::vector<CoreSwitch*, std::allocator<CoreSwitch*> > >, CoreSwitch*&&)
  0.00     65.34     0.00        6     0.00     0.00  void std::vector<LocalControlSwitch*, std::allocator<LocalControlSwitch*> >::_M_realloc_insert<LocalControlSwitch*>(__gnu_cxx::__normal_iterator<LocalControlSwitch**, std::vector<LocalControlSwitch*, std::allocator<LocalControlSwitch*> > >, LocalControlSwitch*&&)
  0.00     65.34     0.00        6     0.00     0.00  void std::vector<AggSwitch*, std::allocator<AggSwitch*> >::_M_realloc_insert<AggSwitch*>(__gnu_cxx::__normal_iterator<AggSwitch**, std::vector<AggSwitch*, std::allocator<AggSwitch*> > >, AggSwitch*&&)
  0.00     65.34     0.00        6     0.00     0.00  void std::vector<ToRSwitch*, std::allocator<ToRSwitch*> >::_M_realloc_insert<ToRSwitch*>(__gnu_cxx::__normal_iterator<ToRSwitch**, std::vector<ToRSwitch*, std::allocator<ToRSwitch*> > >, ToRSwitch*&&)
  0.00     65.34     0.00        5     0.00     0.00  LocalArbiter::receive_sync_message(Packet*)
  0.00     65.34     0.00        5     0.00     0.00  LocalArbiter::send_sync_message_to_host()
  0.00     65.34     0.00        5     0.00     0.00  LocalArbiter::receive_delay_response_message(Packet*)
  0.00     65.34     0.00        5     0.00     0.00  LocalArbiter::LocalArbiter(unsigned int, double, unsigned int, unsigned int)
  0.00     65.34     0.00        5     0.00     0.00  GlobalArbiter::receive_delay_request_message(Packet*)
  0.00     65.34     0.00        5     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
